url,fiyat,km,model_1.6 TDi BlueMotion,model_1.6 TDi BlueMotion Business,model_1.6 TDi BlueMotion Comfortline,model_1.6 TDi BlueMotion Elegance,model_1.6 TDi BlueMotion Exclusive,model_1.6 TDi BlueMotion Highline,model_1.6 TDi BlueMotion Impression,model_1.6 TDi BlueMotion R Line,model_1.6 TDi BlueMotion Trendline,yıl_2011.0,yıl_2012.0,yıl_2013.0,yıl_2014.0,yıl_2015.0,yıl_2016.0,yıl_2017.0,yıl_2018.0,yıl_2019.0,yıl_2020.0,vites_Düz,vites_Otomatik,vites_Yarı Otomatik,yakıt_Benzin,yakıt_Dizel,kasa_Sedan,kasa_Station wagon,renk_Beyaz,renk_Diğer,renk_Füme,renk_Gri,renk_Kahverengi,renk_Lacivert,renk_Mavi,renk_Siyah,kimden_Galeriden,kimden_Sahibinden,Sağ Arka Çamurluk_belirtilmemiş,Sağ Arka Çamurluk_boyalı,Sağ Arka Çamurluk_değişmiş,Sağ Arka Çamurluk_lokal_boyalı,Sağ Arka Çamurluk_orjinal,Arka Kaput_belirtilmemiş,Arka Kaput_boyalı,Arka Kaput_değişmiş,Arka Kaput_lokal_boyalı,Arka Kaput_orjinal,Sol Arka Çamurluk_belirtilmemiş,Sol Arka Çamurluk_boyalı,Sol Arka Çamurluk_değişmiş,Sol Arka Çamurluk_lokal_boyalı,Sol Arka Çamurluk_orjinal,Tavan_belirtilmemiş,Tavan_boyalı,Tavan_değişmiş,Tavan_lokal_boyalı,Tavan_orjinal,Sol Arka Kapı_belirtilmemiş,Sol Arka Kapı_boyalı,Sol Arka Kapı_değişmiş,Sol Arka Kapı_lokal_boyalı,Sol Arka Kapı_orjinal,Sol Ön Kapı_belirtilmemiş,Sol Ön Kapı_boyalı,Sol Ön Kapı_değişmiş,Sol Ön Kapı_lokal_boyalı,Sol Ön Kapı_orjinal,Sağ Ön Çamurluk_belirtilmemiş,Sağ Ön Çamurluk_boyalı,Sağ Ön Çamurluk_değişmiş,Sağ Ön Çamurluk_lokal_boyalı,Sağ Ön Çamurluk_orjinal,Motor Kaputu_belirtilmemiş,Motor Kaputu_boyalı,Motor Kaputu_değişmiş,Motor Kaputu_lokal_boyalı,Motor Kaputu_orjinal,Sol Ön Çamurluk_belirtilmemiş,Sol Ön Çamurluk_boyalı,Sol Ön Çamurluk_değişmiş,Sol Ön Çamurluk_lokal_boyalı,Sol Ön Çamurluk_orjinal,Ön Tampon_belirtilmemiş,Ön Tampon_boyalı,Ön Tampon_değişmiş,Ön Tampon_lokal_boyalı,Ön Tampon_orjinal,Arka Tampon_belirtilmemiş,Arka Tampon_boyalı,Arka Tampon_değişmiş,Arka Tampon_lokal_boyalı,Arka Tampon_orjinal,Sağ Arka Kapı_belirtilmemiş,Sağ Arka Kapı_boyalı,Sağ Arka Kapı_değişmiş,Sağ Arka Kapı_lokal_boyalı,Sağ Arka Kapı_orjinal,Sağ Ön Kapı_belirtilmemiş,Sağ Ön Kapı_boyalı,Sağ Ön Kapı_değişmiş,Sağ Ön Kapı_lokal_boyalı,Sağ Ön Kapı_orjinal
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2012-model-aydin/30398827,775000,242000,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/hatasiz-boyasiz-sahibinden-servis-bakimli/30398739,680000,345000,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-highline/sahibinden-en-dolu-paket-passat-highline/30432481,1525000,163000,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-impression/2019-passat-92-000-km-de-servis-bakimli/30432070,1515000,92000,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/buyuksoylu-dan-2014-model-vw-passat-1-6-tdi-comfortline-dsg/30430520,1020000,196514,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-business/dicle-oto-dan-2020-passat-business-yeni-logo-degisensiz-krd-tks/30028856,1499000,152000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/bilgin-tr-en-uygun-passat-otomatik-dusuk-km/30429560,965000,210000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False
https://www.arabam.com/ilan/sahibinden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/sahibinden-volkswagen-passat-1-6-tdi-bluemotion-comfortline-2013-model/30381619,930000,275000,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2013-model-hatasiz-cam-gibi-dusuk-km/30429495,920000,204000,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
https://www.arabam.com/ilan/galeriden-satilik-volkswagen-passat-1-6-tdi-bluemotion-comfortline/2012-model-hatasiz-boyasiz-vw-passat-1-6tdi-bluemotion/30429493,920000,245000,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
